geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04, -Log.p.value,Student's T-test q-value daf2_d15_daf2_d5,log2FC,Student's T-test Test statistic daf2_d15_daf2_d5,Sign p-val: 0.05 
"CELE_Y62E10A,13",-1.98305,1.69181,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,12.2069,12.0594,9.76451,11.8261,12.8718,13.6241,13.1723,14.121,1.69181,0.0114239,-1.98305,-3.1297,+
cars-1,-0.759007,2.05414,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,15.8211,16.1505,15.4504,15.4914,16.4016,16.744,16.2184,16.5853,2.05414,0.00547399,-0.759007,-3.81346,+
eps-8,-1.06146,2.22838,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,12.2998,11.8259,11.4712,11.7534,12.9619,13.2749,12.9819,12.3774,2.22838,0.00395894,-1.06146,-4.16513,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-0.514696,1.89278,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.9059,16.8133,16.6107,17.1328,17.4503,17.6303,17.2228,17.2181,1.89278,0.00763342,-0.514696,-3.50167,+
pezo-1,-0.54395,0.4507,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9222,14.4529,15.2528,15.1532,15.0058,14.2792,16.2589,16.4128,0.4507,0.211786,-0.54395,-1.00376,
twk-9,-0.942907,0.735191,A0A061AD18,TWiK family of potassium channels,17.1845,15.4121,16.1883,17.3328,18.3046,18.1349,16.8766,16.5732,0.735191,0.0945059,-0.942907,-1.50113,
epi-1,-0.58499,2.0794,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.394,16.9375,17.068,17.1822,17.7883,18.0182,17.4658,17.6494,2.0794,0.00506219,-0.58499,-3.86342,+
kdin-1,0.316641,0.25872,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,12.3697,13.9836,12.3076,13.9048,13.0264,13.2506,12.4163,12.606,0.25872,0.391422,0.316641,0.631232,
tag-273,-0.712175,1.94786,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.7318,17.2426,16.9599,17.1441,17.8664,18.2805,17.7839,17.9963,1.94786,0.0068374,-0.712175,-3.60669,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",-0.196821,0.340077,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.8317,12.2961,12.512,12.9942,12.3398,13.2656,12.9281,12.8877,0.340077,0.299937,-0.196821,-0.794803,
