geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04, -Log.p.value,Student's T-test q-value eat2_d1_N2_d1,log2FC,Student's T-test Test statistic eat2_d1_N2_d1,Sign p-val: 0.05 
"CELE_Y62E10A,13",-0.388758,1.14322,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,12.9683,13.6616,13.4782,13.2256,13.4942,13.8845,13.8712,13.6388,1.14322,0.178429,-0.388758,-2.18154,
cars-1,0.0992546,0.366695,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.1567,15.8846,16.141,15.9632,16.0888,15.7628,15.7788,16.1181,0.366695,0.578018,0.0992546,0.846302,
eps-8,0.380095,0.552992,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,13.8975,12.8773,13.4087,13.531,13.6373,12.5531,12.7802,13.2235,0.552992,0.436003,0.380095,1.18751,
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-0.0107174,0.0246375,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.91,16.4458,16.5862,16.4466,16.5923,16.5336,16.4166,16.889,0.0246375,0.963918,-0.0107174,-0.0721216,
pezo-1,0.418315,1.81041,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.6784,14.3752,14.6108,14.3797,13.8155,14.1636,14.1229,14.2687,1.81041,0.0728791,0.418315,3.34717,
twk-9,-0.223652,0.735799,A0A061AD18,TWiK family of potassium channels,17.2252,17.1974,17.211,17.4039,17.3976,17.1534,17.8241,17.5571,0.735799,0.326635,-0.223652,-1.50216,
epi-1,-0.435787,2.52773,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,16.5375,16.3752,16.5971,16.4363,16.8657,16.7427,17.0923,16.9885,2.52773,0.0287434,-0.435787,-4.81117,+
kdin-1,-0.262065,0.364306,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.0048,13.8586,13.8529,12.6856,13.6681,13.8291,13.4314,13.5216,0.364306,0.57996,-0.262065,-0.841716,
tag-273,0.00230265,0.00923423,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,15.9666,15.9984,15.9232,16.1421,15.9665,15.8482,16.026,16.1803,0.00923423,0.986661,0.00230265,0.0274882,
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.769768,1.14134,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,13.082,12.5815,12.6605,12.5371,12.2756,12.3501,10.9582,12.1981,1.14134,0.178557,0.769768,2.17841,
