geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04, -Log.p.value,Student's T-test q-value eat2_d10_N2_d10,log2FC,Student's T-test Test statistic eat2_d10_N2_d10,Sign p-val: 0.05 
"CELE_Y62E10A,13",-1.45709,0.795971,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.8582,11.9786,11.6818,13.1573,14.218,14.1148,11.1635,15.0079,0.795971,0.0729401,-1.45709,-1.6034,
cars-1,-0.380055,0.587882,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.491,17.7836,16.9469,16.8786,17.4415,17.1778,17.8791,18.122,0.587882,0.132187,-0.380055,-1.24867,
eps-8,-1.15539,2.3599,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,13.3212,13.2322,12.972,13.1131,14.4686,13.7126,14.1819,14.8971,2.3599,0.00219324,-1.15539,-4.44206,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.0779929,0.142936,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.9998,17.8431,17.431,17.6452,17.6362,17.6537,17.2508,18.0665,0.142936,0.593453,0.0779929,0.376421,
pezo-1,-2.1665,3.97794,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,15.2204,15.3511,15.7552,16.1355,17.6704,17.5944,18.1401,17.7233,3.97794,0,-2.1665,-9.00092,+
twk-9,2.05146,4.64147,A0A061AD18,TWiK family of potassium channels,16.561,16.156,16.7497,16.1041,14.4523,14.1682,14.2584,14.486,4.64147,0,2.05146,11.7595,+
epi-1,-1.37893,4.98257,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,18.0254,17.6787,17.736,17.8522,19.3472,19.2119,19.0184,19.2306,4.98257,0,-1.37893,-13.4624,+
kdin-1,0.12957,0.252643,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.6547,14.2895,14.3799,14.205,14.0607,13.8599,14.3869,14.7034,0.252643,0.396436,0.12957,0.61858,
tag-273,-1.18782,3.93905,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.2222,16.9598,16.8673,16.9006,17.9037,18.1408,18.2388,18.4179,3.93905,0,-1.18782,-8.85894,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",-0.68714,1.45644,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,13.4196,13.8567,13.4172,13.5172,14.2514,13.6343,14.3166,14.7568,1.45644,0.0133627,-0.68714,-2.71316,+
pps-1,-1.26215,2.04679,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,16.4563,15.7657,15.6139,15.7992,16.9277,16.9882,16.7831,17.9848,2.04679,0.00396637,-1.26215,-3.79897,+
cka-1,-0.873506,0.532888,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,14.9148,13.9611,15.9528,15.8218,14.8416,15.4305,16.2572,17.6152,0.532888,0.156837,-0.873506,-1.15195,
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-2.37551,1.91185,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",13.1864,10.5308,11.6429,13.2391,14.2815,14.3868,14.4725,14.9605,1.91185,0.00515989,-2.37551,-3.53786,+
spp-18,4.7846,4.22853,A0A061AKY5;Q19837,SaPosin-like Protein family,19.7195,19.6969,18.1225,18.6918,14.277,14.1225,13.6839,15.0089,4.22853,0,4.7846,9.96514,+
