geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04, -Log.p.value,Student's T-test q-value eat2_d5_eat2_d1,log2FC,Student's T-test Test statistic eat2_d15_eat2_d1,Sign p-val: 0.05 
"CELE_Y62E10A,13",0.298555,0.313743,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,13.6624,14.6705,13.0161,13.1788,12.9683,13.6616,13.4782,13.2256,0.313743,0.320808,0.298555,0.742945,
cars-1,0.830986,4.01119,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.9482,16.9907,16.7258,16.8047,16.1567,15.8846,16.141,15.9632,4.01119,0,0.830986,9.12388,+
eps-8,-0.0362225,0.058,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,13.2868,13.2943,13.4311,13.5574,13.8975,12.8773,13.4087,13.531,0.058,0.789671,-0.0362225,-0.164176,
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.216727,0.927144,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.7278,16.9222,16.7445,16.861,16.91,16.4458,16.5862,16.4466,0.927144,0.05375,0.216727,1.82217,
pezo-1,-0.138022,0.261018,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9797,14.1831,14.1785,14.1505,14.6784,14.3752,14.6108,14.3797,0.261018,0.379577,-0.138022,-0.635998,
twk-9,-0.469157,2.15193,A0A061AD18,TWiK family of potassium channels,16.7245,16.8547,16.5382,17.0434,17.2252,17.1974,17.211,17.4039,2.15193,0.00264503,-0.469157,-4.0088,+
epi-1,0.79228,4.91857,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.3778,17.2611,17.2211,17.2552,16.5375,16.3752,16.5971,16.4363,4.91857,0,0.79228,13.1262,+
kdin-1,0.680938,0.95067,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.5667,14.1245,13.5735,13.8609,13.0048,13.8586,13.8529,12.6856,0.95067,0.0498503,0.680938,1.86125,+
tag-273,0.882498,5.45488,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,16.9522,16.8906,16.8216,16.896,15.9666,15.9984,15.9232,16.1421,5.45488,0,0.882498,16.2083,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.2025,0.60984,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,13.204,12.8146,12.8455,12.807,13.082,12.5815,12.6605,12.5371,0.60984,0.131033,0.2025,1.28685,
