geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04, -Log.p.value,Student's T-test q-value N2_d15_N2_d1,log2FC,Student's T-test Test statistic N2_d15_N2_d1,Sign p-val: 0.05 
"CELE_Y62E10A,13",-1.69856,2.83409,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.3945,11.8454,12.0607,12.7939,13.4942,13.8845,13.8712,13.6388,2.83409,0.00118153,-1.69856,-5.53581,+
cars-1,0.604497,1.74946,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.0012,16.427,16.4786,16.2597,16.0888,15.7628,15.7788,16.1181,1.74946,0.00865643,0.604497,3.23471,+
eps-8,1.28651,2.02874,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,14.7489,13.651,14.3442,14.5962,13.6373,12.5531,12.7802,13.2235,2.02874,0.00501584,1.28651,3.76352,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.424797,1.4642,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.1779,16.7638,16.9089,17.28,16.5923,16.5336,16.4166,16.889,1.4642,0.0157601,0.424797,2.72661,+
pezo-1,1.42127,1.79002,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,15.1979,15.0917,15.0032,16.7631,13.8155,14.1636,14.1229,14.2687,1.79002,0.00814775,1.42127,3.30937,+
twk-9,-2.42704,3.09912,A0A061AD18,TWiK family of potassium channels,15.0646,14.0276,15.4946,15.6371,17.3976,17.1534,17.8241,17.5571,3.09912,0.000680038,-2.42704,-6.22275,+
epi-1,0.403108,1.72338,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.454,17.4416,17.0252,17.381,16.8657,16.7427,17.0923,16.9885,1.72338,0.00922822,0.403108,3.18705,+
kdin-1,0.181735,0.741723,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.6171,14.009,13.8207,13.7303,13.6681,13.8291,13.4314,13.5216,0.741723,0.0977509,0.181735,1.51216,
tag-273,0.323993,1.51135,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,16.2946,16.0933,16.3976,16.5315,15.9665,15.8482,16.026,16.1803,1.51135,0.014257,0.323993,2.80874,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.652453,0.740091,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,11.832,12.6645,13.1658,12.7295,12.2756,12.3501,10.9582,12.1981,0.740091,0.0980453,0.652453,1.50941,
pps-1,0.584424,0.763394,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,15.271,14.9418,15.2142,15.653,15.3031,13.9893,14.1854,15.2644,0.763394,0.0928555,0.584424,1.54869,
cka-1,-0.750497,0.9736,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,13.0951,14.5308,14.0703,13.9988,14.182,15.2123,15.0108,14.2918,0.9736,0.0541019,-0.750497,-1.89934,
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-0.0184948,0.0286047,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",13.3137,12.9601,13.441,14.0119,13.3919,13.4873,13.3822,13.5391,0.0286047,0.891789,-0.0184948,-0.0833854,
spp-18,1.39254,1.71141,A0A061AKY5;Q19837,SaPosin-like Protein family,16.8055,17.5007,17.378,16.5791,14.7652,15.4042,15.9958,16.5278,1.71141,0.00944449,1.39254,3.16525,+
lin-66,-0.30572,0.227331,A0A061AL58;O62020,Uncharacterized protein,12.317,12.1892,12.2635,12.7647,13.7457,13.1536,12.5701,11.2878,0.227331,0.43134,-0.30572,-0.565127,
"CELE_F09E10,7",0.43634,0.298377,A0A078BPG0,Uncharacterized protein,15.7195,13.3313,13.1655,13.5176,13.1297,13.6954,13.5721,13.5913,0.298377,0.343134,0.43634,0.712231,
"CELE_F10C1,9",-1.74417,2.67829,A0A078BPH9;G4S1A4,Uncharacterized protein,13.0658,12.3597,12.7821,11.6115,14.5513,14.0597,14.1416,14.0431,2.67829,0.00128467,-1.74417,-5.15862,+
itx-1,0.48585,3.85352,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.3792,15.1967,15.3792,15.2648,14.8645,14.8632,14.8308,14.718,3.85352,0.000115843,0.48585,8.55357,+
"CELE_Y41E3,7",0.291335,0.286229,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.6143,15.5077,15.5166,14.3394,14.6259,14.8664,15.37,13.9504,0.286229,0.357024,0.291335,0.687693,
"CELE_Y105C5B,15",1.34474,3.98061,A0A078BQP7;Q9U309,Purple acid phosphatase,14.2368,14.7536,14.3432,14.4718,13.2965,12.9016,12.9735,13.2549,3.98061,6.65E-05,1.34474,9.01074,+
lim-9,-0.17896,0.30083,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.2082,15.1166,14.3389,14.132,14.5234,14.4169,14.8993,14.6719,0.30083,0.340814,-0.17896,-0.717157,
"CELE_Y105E8A,25",1.0028,2.1677,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,14.9721,14.2083,13.9657,14.553,13.2962,13.2075,13.7434,13.4407,2.1677,0.00354204,1.0028,4.04078,+
pgp-2,0.444978,2.02088,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.439,14.9654,15.155,15.4384,14.7292,14.8409,14.8326,14.8153,2.02088,0.00508295,0.444978,3.74814,+
lpd-3,-0.577739,0.310994,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,17.1681,14.8397,15.6861,15.9769,14.7406,16.5295,17.4577,17.254,0.310994,0.329919,-0.577739,-0.737475,
tln-1,1.00756,1.42681,A0A0K3AQU9,TaLiN,14.5501,14.8535,14.223,15.8737,13.7721,13.5973,14.1944,13.9062,1.42681,0.0170678,1.00756,2.66193,+
max-2,1.07694,1.06399,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,15.6531,14.5138,13.9053,16.096,14.2807,13.6385,13.8102,14.131,1.06399,0.0432936,1.07694,2.04951,+
egl-27,0.15043,0.0639511,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.2126,14.6101,16.28,12.7153,13.5924,15.3326,14.5495,13.7417,0.0639511,0.773222,0.15043,0.180003,
cdc-14,2.16843,3.92611,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,11.742,11.9868,11.8271,12.8061,10.0184,9.87131,9.89537,9.90331,3.92611,0.000120996,2.16843,8.81214,+
daf-16,-1.00833,2.7427,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,12.5541,12.0724,12.2682,12.7554,13.4251,13.116,13.6714,13.4711,2.7427,0.00122772,-1.00833,-5.31231,+
"CELE_T16H12,3;T16H12,3",-0.559581,0.714715,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.5835,12.0612,12.1027,12.7229,12.4847,13.4082,13.6087,12.207,0.714715,0.105195,-0.559581,-1.46648,
lev-11,2.30057,3.87526,A0A0K3ARC0,Uncharacterized protein,16.2472,15.6724,15.509,16.4352,13.6743,13.3467,13.5871,14.0535,3.87526,0.000118056,2.30057,8.6303,+
gld-2,-1.11054,0.807854,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,12.5522,11.2392,10.3677,12.7843,13.0836,13.5281,13.015,11.7589,0.807854,0.0828435,-1.11054,-1.62331,
ncl-1,-2.63621,5.95451,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,12.542,12.1807,12.316,12.7383,15.027,15.1476,15.1867,14.9605,5.95451,0,-2.63621,-19.6963,+
"CELE_D1069,3",2.07608,0.745451,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.3731,12.0944,12.3316,12.5939,12.4808,10.997,11.3155,6.29544,0.745451,0.0967068,2.07608,1.51846,
lin-23,1.02187,1.85923,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,15.6396,15.0569,16.4845,15.7004,14.6164,14.6201,14.8182,14.7393,1.85923,0.00721499,1.02187,3.43838,+
"CELE_Y50D4B,1",-1.52427,1.29823,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.4011,12.1045,12.01,12.4652,13.6227,12.8805,13.0266,15.548,1.29823,0.0240331,-1.52427,-2.44217,+
"CELE_Y39A1A,21",0.584985,1.30689,A0A0K3ARX5;Q9XX11,Uncharacterized protein,12.3942,12.0197,12.2596,12.778,11.3098,11.7244,11.9371,12.1402,1.30689,0.0236049,0.584985,2.45684,+
dre-1,-0.432883,0.325998,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",15.5708,18.1573,16.945,16.5466,16.8521,17.5528,17.5296,17.0168,0.325998,0.314775,-0.432883,-0.767195,
gck-1,0.367012,0.522512,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,15.0399,14.6068,16.002,15.6756,15.126,15.0707,14.7736,14.886,0.522512,0.176482,0.367012,1.1335,
gly-7,-0.162843,0.0891464,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,13.0861,12.734,14.7532,15.4581,14.4632,13.9384,14.0462,14.235,0.0891464,0.702111,-0.162843,-0.245258,
"CELE_F40A3,3;F40A3,3",-0.244535,0.366377,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",17.5826,18.1105,18.1486,17.3012,17.6745,18.587,18.0588,17.8006,0.366377,0.278148,-0.244535,-0.845694,
"CELE_Y50D4B,4",-0.23018,0.450752,A0A0K3ASH9,Uncharacterized protein,14.7283,14.6614,15.269,15.3,14.7622,15.344,15.3902,15.3831,0.450752,0.215792,-0.23018,-1.00386,
cdf-1,-0.375511,0.542354,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,12.5581,12.1584,12.2233,12.5177,13.5598,12.8471,12.2454,12.3073,0.542354,0.166344,-0.375511,-1.16872,
