geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04, -Log.p.value,Student's T-test q-value N2_d10_N2_d1,log2FC,Student's T-test Test statistic N2_d10_N2_d1,Sign p-val: 0.05 
"CELE_Y62E10A,13",-0.0960956,0.0392068,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,14.218,14.1148,11.1635,15.0079,13.4942,13.8845,13.8712,13.6388,0.0392068,0.801921,-0.0960956,-0.113051,
cars-1,1.71797,3.49374,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.4415,17.1778,17.8791,18.122,16.0888,15.7628,15.7788,16.1181,3.49374,0,1.71797,7.36576,+
eps-8,1.26651,1.97494,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,14.4686,13.7126,14.1819,14.8971,13.6373,12.5531,12.7802,13.2235,1.97494,0.00107941,1.26651,3.65884,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",1.04392,2.76432,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.6362,17.6537,17.2508,18.0665,16.5923,16.5336,16.4166,16.889,2.76432,0.000161771,1.04392,5.3646,+
pezo-1,3.68935,6.42134,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,17.6704,17.5944,18.1401,17.7233,13.8155,14.1636,14.1229,14.2687,6.42134,0,3.68935,23.6087,+
twk-9,-3.14176,5.94383,A0A061AD18,TWiK family of potassium channels,14.4523,14.1682,14.2584,14.486,17.3976,17.1534,17.8241,17.5571,5.94383,0,-3.14176,-19.6147,+
epi-1,2.27972,6.28432,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,19.3472,19.2119,19.0184,19.2306,16.8657,16.7427,17.0923,16.9885,6.28432,0,2.27972,22.3877,+
kdin-1,0.640175,1.68973,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.0607,13.8599,14.3869,14.7034,13.6681,13.8291,13.4314,13.5216,1.68973,0.00257755,0.640175,3.12593,+
tag-273,2.17003,5.57969,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.9037,18.1408,18.2388,18.4179,15.9665,15.8482,16.026,16.1803,5.57969,0,2.17003,17.0191,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",2.2943,2.89548,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,14.2514,13.6343,14.3166,14.7568,12.2756,12.3501,10.9582,12.1981,2.89548,8.84E-05,2.2943,5.68967,+
pps-1,2.4854,2.86319,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,16.9277,16.9882,16.7831,17.9848,15.3031,13.9893,14.1854,15.2644,2.86319,8.70E-05,2.4854,5.60836,+
cka-1,1.36191,1.08441,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,14.8416,15.4305,16.2572,17.6152,14.182,15.2123,15.0108,14.2918,1.08441,0.0159229,1.36191,2.0835,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",1.07515,3.3522,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.2815,14.3868,14.4725,14.9605,13.3919,13.4873,13.3822,13.5391,3.3522,0,1.07515,6.93795,+
spp-18,-1.4002,1.61055,A0A061AKY5;Q19837,SaPosin-like Protein family,14.277,14.1225,13.6839,15.0089,14.7652,15.4042,15.9958,16.5278,1.61055,0.00331344,-1.4002,-2.98379,+
lin-66,1.73636,1.77598,A0A061AL58;O62020,Uncharacterized protein,14.25,14.441,14.4749,14.5368,13.7457,13.1536,12.5701,11.2878,1.77598,0.00209558,1.73636,3.28346,+
"CELE_F09E10,7",0.859268,2.11513,A0A078BPG0,Uncharacterized protein,14.2173,14.1746,14.1429,14.8907,13.1297,13.6954,13.5721,13.5913,2.11513,0.000711876,0.859268,3.93469,+
"CELE_F10C1,9",0.234263,0.422852,A0A078BPH9;G4S1A4,Uncharacterized protein,14.1701,14.1251,14.3814,15.0562,14.5513,14.0597,14.1416,14.0431,0.422852,0.1296,0.234263,0.952331,
itx-1,1.49091,4.0262,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,16.1639,16.1252,16.1658,16.7853,14.8645,14.8632,14.8308,14.718,4.0262,0,1.49091,9.17991,+
