geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04, -Log.p.value,Student's T-test q-value daf2_d5_daf2_d1,log2FC,Student's T-test Test statistic daf2_d5_daf2_d1,Sign p-val: 0.05 
"CELE_Y62E10A,13",-0.308182,0.24792,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,12.8718,13.6241,13.1723,14.121,15.033,13.3158,13.2742,13.3989,0.24792,0.342279,-0.308182,-0.6087,
cars-1,0.762528,3.18994,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.4016,16.744,16.2184,16.5853,15.7675,15.7773,15.7113,15.6432,3.18994,0.000340136,0.762528,6.47239,+
eps-8,0.26344,0.319589,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,12.9619,13.2749,12.9819,12.3774,12.5189,13.0355,11.8518,13.1362,0.319589,0.269475,0.26344,0.754539,
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",1.40183,5.04073,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.4503,17.6303,17.2228,17.2181,15.9997,16.0292,15.9521,15.9332,5.04073,0,1.40183,13.7749,+
pezo-1,1.33424,1.37659,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,15.0058,14.2792,16.2589,16.4128,14.0249,14.2203,14.3511,14.0234,1.37659,0.0115868,1.33424,2.57563,+
twk-9,-0.67544,0.732612,A0A061AD18,TWiK family of potassium channels,18.3046,18.1349,16.8766,16.5732,18.3173,18.0618,18.3394,17.8726,0.732612,0.0755202,-0.67544,-1.49678,
epi-1,0.96517,3.41713,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.7883,18.0182,17.4658,17.6494,16.7993,16.8157,16.8808,16.5653,3.41713,0.000289676,0.96517,7.1316,+
kdin-1,-0.133339,0.28678,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.0264,13.2506,12.4163,12.606,13.0104,12.8672,12.953,13.002,0.28678,0.298932,-0.133339,-0.688811,
tag-273,1.24823,4.52169,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.8664,18.2805,17.7839,17.9963,16.7957,16.6892,16.7458,16.7035,4.52169,0,1.24823,11.2107,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.259491,0.478449,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.3398,13.2656,12.9281,12.8877,12.9012,12.7524,12.5408,12.1888,0.478449,0.160594,0.259491,1.05435,
pps-1,-1.20554,1.99319,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,13.0455,12.9821,12.6379,12.2496,14.6849,13.7357,13.9037,13.413,1.99319,0.00278316,-1.20554,-3.69419,+
cka-1,-1.31856,2.58678,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,12.4489,13.0109,13.5044,12.5409,14.1753,14.2682,13.9052,14.4305,2.58678,0.000581596,-1.31856,-4.94552,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",1.9413,3.02422,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.9123,15.6116,14.2647,14.2652,12.7977,12.8163,12.7774,12.8972,3.02422,0.000364322,1.9413,6.02253,+
spp-18,3.95694,3.84983,A0A061AKY5;Q19837,SaPosin-like Protein family,18.1612,19.2322,18.6168,17.7392,13.6529,15.2626,14.344,14.6621,3.84983,6.10E-05,3.95694,8.54059,+
lin-66,0.36846,0.902811,A0A061AL58;O62020,Uncharacterized protein,13.9607,13.9884,14.4919,13.7276,13.9599,13.5927,13.7867,13.3555,0.902811,0.0462524,0.36846,1.78171,+
"CELE_F09E10,7",1.29284,1.13547,A0A078BPG0,Uncharacterized protein,15.7667,14.3877,14.8697,13.2229,13.4822,13.2835,13.7968,12.5132,1.13547,0.0231174,1.29284,2.16859,+
"CELE_F10C1,9",-0.390023,0.594021,A0A078BPH9;G4S1A4,Uncharacterized protein,12.8939,13.335,13.0136,12.5557,13.4519,13.0365,14.0339,12.836,0.594021,0.113354,-0.390023,-1.25937,
itx-1,1.4158,3.00883,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.4011,15.9398,15.4638,14.944,14.3602,13.8227,14.023,13.8797,3.00883,0.000361371,1.4158,5.98197,+
"CELE_Y41E3,7",0.057775,0.0971681,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,13.6666,14.2938,14.4558,14.5345,14.437,14.1755,14.1049,14.0022,0.0971681,0.625055,0.057775,0.265481,
"CELE_Y105C5B,15",1.4658,2.90907,A0A078BQP7;Q9U309,Purple acid phosphatase,15.3516,15.3146,15.5079,14.7261,14.1822,13.5679,13.9529,13.334,2.90907,0.000407583,1.4658,5.72416,+
lim-9,0.413923,1.65826,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,15.5677,15.4778,15.6519,15.6344,15.1094,14.9499,15.542,15.0749,1.65826,0.00550508,0.413923,3.06917,+
"CELE_Y105E8A,25",1.19908,1.46514,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,15.2256,15.7982,14.7094,14.1762,14.3318,13.9801,13.7444,13.0567,1.46514,0.00911716,1.19908,2.72824,+
pgp-2,0.0499325,0.0838042,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.1878,15.1079,14.3195,15.1138,15.0493,14.8721,14.8834,14.7244,0.0838042,0.663712,0.0499325,0.231648,
lpd-3,0.776929,0.506548,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,15.7376,15.4629,15.8295,17.9221,16.2304,16.0431,14.4429,15.1278,0.506548,0.147051,0.776929,1.10498,
tln-1,0.382113,0.215295,A0A0K3AQU9,TaLiN,14.0896,14.3584,15.1304,15.6357,16.0092,13.4848,14.7696,13.4221,0.215295,0.384407,0.382113,0.539255,
max-2,2.19835,2.83505,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.939,15.944,15.3661,15.3956,13.5153,12.2491,13.2763,13.8107,2.83505,0.00048146,2.19835,5.5382,+
egl-27,-0.687471,1.77167,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,13.0035,12.9126,12.9519,12.2116,13.3076,13.3039,13.5169,13.701,1.77167,0.00444607,-0.687471,-3.27551,+
cdc-14,2.14706,4.56891,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,13.1162,13.1696,12.9349,12.4668,11.0256,10.6159,10.6167,10.841,4.56891,0,2.14706,11.4241,+
daf-16,1.48115,2.61348,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,15.5029,16.118,14.7924,15.0596,14.0404,13.7714,13.8167,13.92,2.61348,0.000545736,1.48115,5.00708,+
"CELE_T16H12,3;T16H12,3",0.201983,0.207371,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.8176,13.243,13.0141,12.2105,12.8504,12.4177,13.3509,11.8584,0.207371,0.395632,0.201983,0.522052,
lev-11,2.88379,4.5819,A0A0K3ARC0,Uncharacterized protein,18.1945,18.2566,17.6161,18.0451,15.5017,15.3856,15.1109,14.5788,4.5819,0,2.88379,11.4835,+
gld-2,0.88905,1.65351,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,13.108,13.3404,12.8983,13.0307,11.771,12.8416,11.72,12.4886,1.65351,0.00557737,0.88905,3.06063,+
ncl-1,-1.73136,3.24559,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,13.1233,13.2828,12.9295,12.354,15.1437,14.4379,14.5374,14.4959,3.24559,0.000304011,-1.73136,-6.62917,+
"CELE_D1069,3",1.24354,1.59449,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.8579,14.5717,13.6722,13.2409,11.9118,12.1038,12.8008,12.5522,1.59449,0.00631882,1.24354,2.95523,+
lin-23,-0.280895,0.922088,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,12.9811,13.007,12.8844,12.5119,13.1779,13.241,12.8194,13.2696,0.922088,0.0438162,-0.280895,-1.81376,+
"CELE_Y50D4B,1",-0.254712,0.801746,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.6791,13.1274,12.9582,13.0105,13.1414,13.1551,12.9483,13.5493,0.801746,0.0611249,-0.254712,-1.61308,
"CELE_Y39A1A,21",2.50091,3.86013,A0A0K3ARX5;Q9XX11,Uncharacterized protein,12.6679,13.1328,12.9236,12.858,10.8572,9.59846,10.5046,10.6183,3.86013,6.12E-05,2.50091,8.57683,+
dre-1,-0.516287,0.98454,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",15.9558,16.6216,16.771,16.8865,17.5411,16.747,16.9177,17.0942,0.98454,0.0369663,-0.516287,-1.91751,+
gck-1,0.799793,1.4261,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.3471,15.7522,14.8482,15.0752,14.3503,14.2965,14.0295,14.1474,1.4261,0.00986822,0.799793,2.66071,+
gly-7,-1.41378,2.14898,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,12.8568,12.9011,13.0341,12.6887,15.2911,13.9644,14.1441,13.7363,2.14898,0.00197811,-1.41378,-4.00283,+
"CELE_F40A3,3;F40A3,3",0.813325,4.51675,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",19.229,19.3653,19.1852,19.3404,18.5411,18.4763,18.5505,18.2987,4.51675,0,0.813325,11.1886,+
"CELE_Y50D4B,4",-0.00205755,0.00373937,A0A0K3ASH9,Uncharacterized protein,14.882,14.4573,15.2848,15.1476,14.9002,14.9816,14.9892,14.9089,0.00373937,0.982792,-0.00205755,-0.0112003,
