geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04, -Log.p.value,Student's T-test q-value eat2_d15_N2_d15,log2FC,Student's T-test Test statistic eat2_d15_N2_d15,Sign p-val: 0.05 
"CELE_Y62E10A,13",2.82384,3.9879,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,14.6929,14.6219,15.0714,15.0036,11.3945,11.8454,12.0607,12.7939,3.9879,0,2.82384,9.03762,+
cars-1,1.36994,2.19035,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.3614,18.3607,17.4468,18.4773,17.0012,16.427,16.4786,16.2597,2.19035,0.00157058,1.36994,4.08696,+
eps-8,0.409181,0.575152,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,14.2241,15.3397,14.695,14.718,14.7489,13.651,14.3442,14.5962,0.575152,0.0848277,0.409181,1.22643,
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.408813,1.41127,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.278,17.2816,17.5184,17.6879,17.1779,16.7638,16.9089,17.28,1.41127,0.00895941,0.408813,2.63515,+
pezo-1,0.872335,1.03224,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,16.0356,16.4429,16.43,16.6367,15.1979,15.0917,15.0032,16.7631,1.03224,0.0235776,0.872335,1.99673,+
twk-9,-0.333442,0.314401,A0A061AD18,TWiK family of potassium channels,14.6643,14.6084,14.1804,15.4371,15.0646,14.0276,15.4946,15.6371,0.314401,0.205024,-0.333442,-0.744251,
epi-1,2.38869,4.68644,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,19.3013,19.958,19.5637,20.0334,17.454,17.4416,17.0252,17.381,4.68644,0,2.38869,11.9718,+
kdin-1,0.992821,2.77291,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.9805,15.0657,14.7737,14.3285,13.6171,14.009,13.8207,13.7303,2.77291,0.00042623,0.992821,5.38546,+
tag-273,1.75332,4.35497,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.8152,18.0893,17.9604,18.4654,16.2946,16.0933,16.3976,16.5315,4.35497,0,1.75332,10.486,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",2.34375,3.31521,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,14.5301,15.4822,14.9562,14.7982,11.832,12.6645,13.1658,12.7295,3.31521,0.000261556,2.34375,6.82953,+
pps-1,1.48012,2.96239,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,16.3486,16.9502,17.2291,16.4725,15.271,14.9418,15.2142,15.653,2.96239,0.000298196,1.48012,5.86091,+
cka-1,3.06498,3.91253,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,17.0288,16.4714,17.191,17.2637,13.0951,14.5308,14.0703,13.9988,3.91253,0,3.06498,8.76326,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",1.33446,2.42605,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.7691,14.5101,14.4768,15.3084,13.3137,12.9601,13.441,14.0119,2.42605,0.000987988,1.33446,4.58536,+
spp-18,-2.25023,4.09428,A0A061AKY5;Q19837,SaPosin-like Protein family,14.6074,14.9306,14.7396,14.9846,16.8055,17.5007,17.378,16.5791,4.09428,0,-2.25023,-9.43771,+
lin-66,2.361,2.51414,A0A061AL58;O62020,Uncharacterized protein,13.3425,15.221,14.9797,15.4351,12.317,12.1892,12.2635,12.7647,2.51414,0.00090242,2.361,4.7806,+
"CELE_F09E10,7",0.782851,0.592233,A0A078BPG0,Uncharacterized protein,14.9222,15.0741,14.3462,14.5228,15.7195,13.3313,13.1655,13.5176,0.592233,0.0805221,0.782851,1.25626,
"CELE_F10C1,9",2.09045,2.49194,A0A078BPH9;G4S1A4,Uncharacterized protein,14.4955,13.7579,14.6724,15.255,13.0658,12.3597,12.7821,11.6115,2.49194,0.000933798,2.09045,4.73091,+
itx-1,1.1391,5.36175,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,16.3116,16.5902,16.4232,16.4513,15.3792,15.1967,15.3792,15.2648,5.36175,0,1.1391,15.6277,+
"CELE_Y41E3,7",0.263588,0.290176,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,15.1169,15.2052,14.8207,15.8897,14.6143,15.5077,15.5166,14.3394,0.290176,0.225518,0.263588,0.695692,
"CELE_Y105C5B,15",0.709174,2.10268,A0A078BQP7;Q9U309,Purple acid phosphatase,14.8389,15.4545,15.0084,15.3403,14.2368,14.7536,14.3432,14.4718,2.10268,0.00187929,0.709174,3.90978,+
lim-9,0.38271,0.712977,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.9571,15.1334,14.5622,14.6738,14.2082,15.1166,14.3389,14.132,0.712977,0.0558455,0.38271,1.46354,
"CELE_Y105E8A,25",0.676016,1.50827,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,14.9662,15.3609,14.9144,15.1615,14.9721,14.2083,13.9657,14.553,1.50827,0.00721383,0.676016,2.80337,+
pgp-2,1.67584,1.25733,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,16.263,15.942,16.5103,18.9858,15.439,14.9654,15.155,15.4384,1.25733,0.0126314,1.67584,2.37302,+
lpd-3,-1.0717,1.0538,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,14.7356,14.4461,14.7467,15.4556,17.1681,14.8397,15.6861,15.9769,1.0538,0.0221248,-1.0717,-2.03258,+
tln-1,-0.0399563,0.0320438,A0A0K3AQU9,TaLiN,14.9324,15.4181,14.2691,14.7208,14.5501,14.8535,14.223,15.8737,0.0320438,0.833651,-0.0399563,-0.0930768,
max-2,-0.243424,0.164456,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.9873,14.8484,14.0506,15.3082,15.6531,14.5138,13.9053,16.096,0.164456,0.397629,-0.243424,-0.426287,
egl-27,-0.111647,0.0415429,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.4995,14.7387,12.7065,15.4268,14.2126,14.6101,16.28,12.7153,0.0415429,0.787188,-0.111647,-0.119505,
cdc-14,2.56877,3.03018,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,14.9576,15.4854,13.9322,14.2619,11.742,11.9868,11.8271,12.8061,3.03018,0.000308145,2.56877,6.03828,+
daf-16,1.84043,2.23264,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,13.9248,15.4823,13.9326,13.6722,12.5541,12.0724,12.2682,12.7554,2.23264,0.00147764,1.84043,4.17396,+
"CELE_T16H12,3;T16H12,3",2.45188,4.01651,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",14.5306,14.5676,14.7485,15.431,12.5835,12.0612,12.1027,12.7229,4.01651,0,2.45188,9.14372,+
lev-11,1.55943,2.92853,A0A0K3ARC0,Uncharacterized protein,17.5938,17.7435,17.6884,17.0757,16.2472,15.6724,15.509,16.4352,2.92853,0.000309557,1.55943,5.77378,+
gld-2,3.01397,2.20758,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,14.9741,15.5163,13.4171,15.0916,12.5522,11.2392,10.3677,12.7843,2.20758,0.00156589,3.01397,4.12228,+
ncl-1,2.61964,5.57547,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,15.0217,15.2217,14.819,15.1931,12.542,12.1807,12.316,12.7383,5.57547,0,2.61964,16.991,+
"CELE_D1069,3",2.58462,5.2868,A0A0K3ARJ1;Q6A586,Uncharacterized protein,14.5316,15.1375,15.0211,15.0412,12.3731,12.0944,12.3316,12.5939,5.2868,0,2.58462,15.175,+
lin-23,-0.782037,1.37977,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,14.7922,15.1266,14.8369,14.9976,15.6396,15.0569,16.4845,15.7004,1.37977,0.0094143,-0.782037,-2.58108,+
"CELE_Y50D4B,1",2.83655,5.49157,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,14.8821,15.0305,14.947,15.4674,12.4011,12.1045,12.01,12.4652,5.49157,0,2.83655,16.4427,+
"CELE_Y39A1A,21",2.23109,3.94513,A0A0K3ARX5;Q9XX11,Uncharacterized protein,14.8786,14.5327,14.0664,14.8981,12.3942,12.0197,12.2596,12.778,3.94513,0,2.23109,8.881,+
dre-1,2.74645,2.40906,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",19.0011,20.0038,19.1395,20.0611,15.5708,18.1573,16.945,16.5466,2.40906,0.00101975,2.74645,4.54828,+
gck-1,-0.678062,1.06502,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.9316,14.6014,14.6561,14.423,15.0399,14.6068,16.002,15.6756,1.06502,0.0214811,-0.678062,-2.05122,+
gly-7,0.63043,0.397299,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,14.1129,14.3868,14.857,15.1964,13.0861,12.734,14.7532,15.4581,0.397299,0.151194,0.63043,0.904495,
"CELE_F40A3,3;F40A3,3",1.80371,3.80657,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",19.443,19.5954,19.7306,19.5887,17.5826,18.1105,18.1486,17.3012,3.80657,0.000105431,1.80371,8.38985,+
"CELE_Y50D4B,4",-0.852279,0.59903,A0A0K3ASH9,Uncharacterized protein,12.8441,15.5238,13.2333,14.9485,14.7283,14.6614,15.269,15.3,0.59903,0.0786595,-0.852279,-1.26808,
cdf-1,2.26762,5.01657,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,14.6911,14.6039,14.2977,14.9354,12.5581,12.1584,12.2233,12.5177,5.01657,0,2.26762,13.6442,+
unc-34,2.3099,2.18174,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,17.5071,18.1994,18.1953,18.0443,15.5482,16.6145,16.3491,14.1947,2.18174,0.00156619,2.3099,4.06936,+
tbh-1,2.38845,3.25883,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,18.8977,19.9425,19.2313,19.9725,17.2381,16.7317,16.769,17.7514,3.25883,0.000254526,2.38845,6.66692,+
lev-11,2.72391,3.1392,A0A0K3ATS1,Uncharacterized protein,22.9724,24.6822,24.2346,24.7799,21.3013,21.6226,21.6428,21.2067,3.1392,0.000257599,2.72391,6.332,+
imp-3,3.60537,4.43572,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,16.4129,17.053,16.6976,16.9933,13.22,13.9208,12.4619,13.1327,4.43572,0,3.60537,10.8315,+
prdx-2,1.13536,3.04465,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,22.4809,23.0663,22.5501,22.7704,21.1967,21.7105,21.6292,21.7899,3.04465,0.000262586,1.13536,6.07665,+
jhdm-1,0.769259,1.33115,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.7536,15.4294,14.4854,14.7113,13.8697,14.0829,13.6371,14.7129,1.33115,0.0106819,0.769259,2.49808,+
mrck-1,1.70366,2.55782,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,14.904,14.5921,14.4733,15.3829,12.4491,13.8097,13.2853,12.9935,2.55782,0.000880792,1.70366,4.87933,+
nhr-86,2.18958,3.74024,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,14.3599,14.1527,14.3449,15.146,12.3474,11.9073,12.338,12.6526,3.74024,0.0001,2.18958,8.16316,+
aat-3,0.737523,0.805738,A0A0K3AVL7;O17395,Amino Acid Transporter,13.5977,15.3824,14.9495,15.245,13.7955,13.7154,14.1138,14.5997,0.805738,0.0425486,0.737523,1.61977,+
"CELE_M02H5,8",1.25738,3.1235,A0A0K3AVS5,Uncharacterized protein,17.6104,18.1733,17.6761,18.3232,16.7706,16.4557,16.8819,16.6453,3.1235,0.00025641,1.25738,6.28902,+
"CELE_T08B1,1",3.60866,6.84498,A0A0K3AVV4,Uncharacterized protein,18.8259,19.1867,18.758,18.8376,15.2299,15.0815,15.4726,15.3896,6.84498,0,3.60866,27.8129,+
lipl-5,2.47178,3.43291,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,14.3911,15.2,14.2999,15.2366,12.5115,12.7463,12.3242,11.6584,3.43291,0.000249546,2.47178,7.17933,+
fln-2,2.19302,6.62391,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,18.6103,18.663,18.4095,18.5762,16.5033,16.4151,16.1892,16.3794,6.62391,0,2.19302,25.5345,+
"C14C6,5",0.329992,0.443779,A0A0K3AXM4;O44667,Uncharacterized protein,18.1679,16.9759,18.0635,17.7752,17.5557,17.1518,17.0527,17.9023,0.443779,0.12867,0.329992,0.991044,
