geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04, -Log.p.value,Student's T-test q-value eat2_d15_eat2_d1,log2FC,Student's T-test Test statistic eat2_d15_eat2_d1,Sign p-val: 0.05 
"CELE_Y62E10A,13",1.51404,3.71115,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,14.6929,14.6219,15.0714,15.0036,12.9683,13.6616,13.4782,13.2256,3.71115,3.55E-05,1.51404,8.06542,+
cars-1,1.87518,3.0943,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.3614,18.3607,17.4468,18.4773,16.1567,15.8846,16.141,15.9632,3.0943,0.000133556,1.87518,6.20973,+
eps-8,1.3156,2.25776,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,14.2241,15.3397,14.695,14.718,13.8975,12.8773,13.4087,13.531,2.25776,0.000885035,1.3156,4.22611,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.844327,2.90285,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.278,17.2816,17.5184,17.6879,16.91,16.4458,16.5862,16.4466,2.90285,0.000151208,0.844327,5.70835,+
pezo-1,1.87529,4.82146,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,16.0356,16.4429,16.43,16.6367,14.6784,14.3752,14.6108,14.3797,4.82146,0,1.87529,12.6312,+
twk-9,-2.53683,4.11976,A0A061AD18,TWiK family of potassium channels,14.6643,14.6084,14.1804,15.4371,17.2252,17.1974,17.211,17.4039,4.11976,4.42E-05,-2.53683,-9.53585,+
epi-1,3.22758,5.72866,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,19.3013,19.958,19.5637,20.0334,16.5375,16.3752,16.5971,16.4363,5.72866,0,3.22758,18.038,+
kdin-1,1.43662,2.24973,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.9805,15.0657,14.7737,14.3285,13.0048,13.8586,13.8529,12.6856,2.24973,0.0008839,1.43662,4.20939,+
tag-273,2.07501,5.09923,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.8152,18.0893,17.9604,18.4654,15.9666,15.9984,15.9232,16.1421,5.09923,0,2.07501,14.0962,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",2.22644,4.09124,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,14.5301,15.4822,14.9562,14.7982,13.082,12.5815,12.6605,12.5371,4.09124,4.35E-05,2.22644,9.42606,+
