geneName,log2FC,pvalue,Leading.proteins,Proteins,Protein.names,Positions.within.proteins,Localization.prob,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04, -Log.p.value,Student's T-test q-value daf2_d5_daf2_d1,log2FC,Student's T-test Test statistic daf2_d5_daf2_d1,Sign p-val: 0.05 
eps-8,-6.6554,3.15592,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,542;567;487;512;470;495;567;290;315,1,21.7283,19.1263,16.9484,19.5784,26.4047,26.7502,25.6981,25.15,3.15592,0.00372346,-6.6554,-6.37799,+
eps-8,-5.03571,2.64922,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,562;587;507;532;490;515;587;310;335,1,21.0619,19.4139,18.8798,20.6509,25.3984,26.2714,22.5561,25.9233,2.64922,0.00901068,-5.03571,-5.09027,+
eps-8,-3.95754,4.10375,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,621;646;566;591;549;574;646;369;394,1,19.8681,19.7115,19.4418,20.2652,23.8377,23.445,23.0266,24.8074,4.10375,0.000851064,-3.95754,-9.47411,+
eps-8,-1.47638,1.03935,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,524;549;469;494;452;477;549;272;297,1,17.3168,17.2941,18.3084,18.8222,18.7979,17.9392,20.3093,20.6005,1.03935,0.191753,-1.47638,-2.00854,
eps-8,-8.33382,4.91686,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;Q7YTG2;A0A061AJ42;A0A061AKT4,,755;780;700;725;683;708;503;528;17,1,14.24,16.2222,17.0743,15.9533,23.6389,24.2897,24.7304,24.1662,4.91686,0,-8.33382,-13.1173,+
eps-8,0.106579,0.123894,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,537;562;482;507;465;490;562;285;310,0.999896,18.8236,17.8722,17.8891,18.4586,18.0559,18.292,17.6013,18.6678,0.123894,0.791904,0.106579,0.331128,
eps-8,-5.16374,3.18225,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,583;608;528;553;511;536;608;331;356,1,19.8229,19.5347,18.5868,16.4206,23.4654,24.3865,23.4633,23.7047,3.18225,0.00328822,-5.16374,-6.45097,+
,1.61,1.08733,A0A061ACQ8,A0A061ACQ8;Q9BKW4,,315;64,1,19.1515,20.881,18.7091,17.8859,16.5056,18.38,17.1296,18.1723,1.08733,0.176462,1.61,2.08836,
,5.25343,2.86318,A0A061ACQ8,A0A061ACQ8;Q9BKW4,,294;43,1,23.1079,22.2062,23.2476,22.728,19.7627,17.9313,17.2044,15.3776,2.86318,0.00703448,5.25343,5.60834,+
,0.910906,1.85807,A0A061ACQ8,A0A061ACQ8,,133,0.5,25.3163,25.7199,25.3947,26.0253,24.3708,25.2928,24.7066,24.4424,1.85807,0.0433692,0.910906,3.43621,+
,0.99311,1.86576,A0A061ACQ8,A0A061ACQ8,,135,0.5,25.3163,26.0487,25.3947,26.0253,24.3708,25.2928,24.7066,24.4424,1.86576,0.0426924,0.99311,3.45066,+
T14G10.5,0.303854,0.219251,A0A061ACR1,A0A061ACR1;Q2XN02;F5GUA3;Q22498,Coatomer subunit gamma;Probable coatomer subunit gamma,589;600;602;587,1,24.594,23.8529,24.1401,23.1285,24.1096,23.9908,22.2437,24.156,0.219251,0.672707,0.303854,0.547793,
pezo-1,-0.473631,0.142069,A0A061AL01,A0A061AL01;O01260;B9WRT3;C6KRJ3;H9G2S2;A0A061AE33;A0A061AJB7;Q17897;H9G2S3;D0VWN8;A0A061ACU2;A0A067XG44,Piezo-type mechanosensitive ion channel component,989;1007;1033;1703;1705;1705;1707;1741;1743;1743;1745;341,1,17.9959,17.1447,20.6863,19.1526,20.6948,16.971,18.084,21.1241,0.142069,0.767365,-0.473631,-0.374385,
pezo-1,0.293789,0.130006,A0A061AL01,A0A061AL01;O01260;B9WRT3;C6KRJ3;H9G2S2;A0A061AE33;A0A061AJB7;Q17897;H9G2S3;D0VWN8;A0A061ACU2,Piezo-type mechanosensitive ion channel component,593;611;611;1307;1309;1309;1311;1345;1347;1347;1349,0.998959,18.4219,19.8675,17.9276,17.6966,20.0754,18.2202,17.6589,16.784,0.130006,0.784171,0.293789,0.345793,
,0.720658,0.22656,B3GWD8,B3GWD8;A0A061ACV1;O18057,,179;423;536,0.999973,19.3549,20.1873,15.7297,19.4834,16.4716,20.1434,18.0472,17.2104,0.22656,0.66874,0.720658,0.563478,
