geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04, -Log.p.value,Student's T-test q-value daf2_d15_daf2_d1,log2FC,Student's T-test Test statistic daf2_d15_daf2_d1,Sign p-val: 0.05 
"CELE_Y62E10A,13",-2.29124,1.7365,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,12.2069,12.0594,9.76451,11.8261,15.033,13.3158,13.2742,13.3989,1.7365,0.00626196,-2.29124,-3.21099,+
cars-1,0.00352025,0.00709639,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,15.8211,16.1505,15.4504,15.4914,15.7675,15.7773,15.7113,15.6432,0.00709639,0.970806,0.00352025,0.0211749,
eps-8,-0.79802,1.23875,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,12.2998,11.8259,11.4712,11.7534,12.5189,13.0355,11.8518,13.1362,1.23875,0.0223166,-0.79802,-2.3417,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.887132,3.70007,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.9059,16.8133,16.6107,17.1328,15.9997,16.0292,15.9521,15.9332,3.70007,0.0002,0.887132,8.02846,+
pezo-1,0.790295,2.17049,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9222,14.4529,15.2528,15.1532,14.0249,14.2203,14.3511,14.0234,2.17049,0.00246691,0.790295,4.04645,+
twk-9,-1.61835,1.88385,A0A061AD18,TWiK family of potassium channels,17.1845,15.4121,16.1883,17.3328,18.3173,18.0618,18.3394,17.8726,1.88385,0.0046451,-1.61835,-3.48477,+
epi-1,0.38018,1.73023,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.394,16.9375,17.068,17.1822,16.7993,16.8157,16.8808,16.5653,1.73023,0.00629983,0.38018,3.19954,+
kdin-1,0.183302,0.150507,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,12.3697,13.9836,12.3076,13.9048,13.0104,12.8672,12.953,13.002,0.150507,0.556944,0.183302,0.394118,
tag-273,0.536057,1.74059,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.7318,17.2426,16.9599,17.1441,16.7957,16.6892,16.7458,16.7035,1.74059,0.00620986,0.536057,3.21847,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.06267,0.104831,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.8317,12.2961,12.512,12.9942,12.9012,12.7524,12.5408,12.1888,0.104831,0.657266,0.06267,0.284569,
pps-1,1.48504,1.68632,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,15.4369,14.6658,15.0787,16.4961,14.6849,13.7357,13.9037,13.413,1.68632,0.00709322,1.48504,3.11976,+
cka-1,0.14756,0.228388,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,13.6777,14.3371,14.6652,14.6894,14.1753,14.2682,13.9052,14.4305,0.228388,0.427273,0.14756,0.567385,
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",1.00298,1.87564,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.2176,14.4117,13.4286,13.2425,12.7977,12.8163,12.7774,12.8972,1.87564,0.00463054,1.00298,3.46928,+
spp-18,1.69297,2.26036,A0A061AKY5;Q19837,SaPosin-like Protein family,16.5696,15.9392,15.6755,16.5092,13.6529,15.2626,14.344,14.6621,2.26036,0.00191332,1.69297,4.23152,+
