geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04, -Log.p.value,Student's T-test q-value daf2_d10_daf2_d5,log2FC,Student's T-test Test statistic daf2_d10_daf2_d5,Sign p-val: 0.05 
"CELE_Y62E10A,13",-3.62565,2.53345,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.3554,8.10436,9.38045,10.4464,12.8718,13.6241,13.1723,14.121,2.53345,0.00138513,-3.62565,-4.82408,+
cars-1,-0.376663,1.25592,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.1075,16.3522,15.8168,16.1662,16.4016,16.744,16.2184,16.5853,1.25592,0.0203703,-0.376663,-2.37063,+
eps-8,1.9586,2.46366,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,15.6027,15.3869,14.0775,14.3634,12.9619,13.2749,12.9819,12.3774,2.46366,0.0016512,1.9586,4.66808,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-0.855011,3.63187,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.5319,16.6517,16.4404,16.4774,17.4503,17.6303,17.2228,17.2181,3.63187,0.000387904,-0.855011,-7.80409,+
pezo-1,-0.311798,0.24496,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9727,15.208,15.1849,15.344,15.0058,14.2792,16.2589,16.4128,0.24496,0.369859,-0.311798,-0.602486,
twk-9,-0.105326,0.0785902,A0A061AD18,TWiK family of potassium channels,16.9242,17.1493,17.8353,17.5592,18.3046,18.1349,16.8766,16.5732,0.0785902,0.701827,-0.105326,-0.21825,
epi-1,-0.482708,1.64834,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.1279,17.5438,17.0597,17.2595,17.7883,18.0182,17.4658,17.6494,1.64834,0.00773843,-0.482708,-3.05135,+
kdin-1,0.437172,1.07042,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.0056,13.2505,13.4264,13.3654,13.0264,13.2506,12.4163,12.606,1.07042,0.0324177,0.437172,2.06022,+
tag-273,-1.46243,4.91336,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,16.5015,16.5437,16.458,16.5743,17.8664,18.2805,17.7839,17.9963,4.91336,0.000142466,-1.46243,-13.0992,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.0682013,0.128504,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.8776,12.8146,12.929,13.0728,12.3398,13.2656,12.9281,12.8877,0.128504,0.567623,0.0682013,0.342202,
pps-1,1.82781,3.41695,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,14.9095,14.5201,14.0743,14.7224,13.0455,12.9821,12.6379,12.2496,3.41695,0.000499089,1.82781,7.13105,+
cka-1,0.440865,0.587956,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,12.7984,12.9611,13.6862,13.8228,12.4489,13.0109,13.5044,12.5409,0.587956,0.124803,0.440865,1.2488,
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-2.10328,3.04083,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",12.6173,13.0353,12.4388,12.5493,14.9123,15.6116,14.2647,14.2652,3.04083,0.000702355,-2.10328,-6.0665,+
spp-18,-1.66762,2.49475,A0A061AKY5;Q19837,SaPosin-like Protein family,16.373,16.9781,16.7208,17.007,18.1612,19.2322,18.6168,17.7392,2.49475,0.00148696,-1.66762,-4.73717,+
lin-66,0.367076,0.589444,A0A061AL58;O62020,Uncharacterized protein,14.5827,14.6179,13.6819,14.7544,13.9607,13.9884,14.4919,13.7276,0.589444,0.124328,0.367076,1.2514,
"CELE_F09E10,7",-0.215259,0.152532,A0A078BPG0,Uncharacterized protein,14.2571,14.4518,14.1071,14.5699,15.7667,14.3877,14.8697,13.2229,0.152532,0.517312,-0.215259,-0.398822,
"CELE_F10C1,9",-1.21683,2.4704,A0A078BPH9;G4S1A4,Uncharacterized protein,11.8453,12.2266,11.2579,11.6011,12.8939,13.335,13.0136,12.5557,2.4704,0.00162272,-1.21683,-4.68302,+
itx-1,-0.470755,1.19089,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.0718,14.9494,14.8635,14.9809,15.4011,15.9398,15.4638,14.944,1.19089,0.0239382,-0.470755,-2.2613,+
"CELE_Y41E3,7",-0.22024,0.424705,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.3709,13.8693,13.9608,13.8687,13.6666,14.2938,14.4558,14.5345,0.424705,0.204592,-0.22024,-0.955775,
"CELE_Y105C5B,15",-1.76159,3.77753,A0A078BQP7;Q9U309,Purple acid phosphatase,13.783,13.271,13.2557,13.5441,15.3516,15.3146,15.5079,14.7261,3.77753,0.000303738,-1.76159,-8.28994,+
