geneName,log2FC,pvalue,Leading.proteins,Proteins,Protein.names,Positions.within.proteins,Localization.prob,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04, -Log.p.value, Student's T-test q-value N2_d15_N2_d5,log2FC,Student's T-test Test statistic N2_d15_N2_d5,Sign p-val: 0.05 
eps-8,-5.376,3.27088,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,542;567;487;512;470;495;567;290;315,1,16.7072,19.1966,20.1808,17.7618,23.8555,23.2074,23.9511,24.3365,3.27088,0.000534979,-5.376,-6.70142,+
eps-8,-0.738168,0.374472,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,562;587;507;532;490;515;587;310;335,1,21.3231,20.8525,18.3048,21.9144,21.9286,21.3864,20.4347,21.5976,0.374472,0.274351,-0.738168,-0.86119,
eps-8,-2.94864,4.54393,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,621;646;566;591;549;574;646;369;394,1,21.2258,21.3047,21.0456,20.6389,23.4835,24.2371,23.8393,24.4495,4.54393,0,-2.94864,-11.3108,+
eps-8,-3.2394,3.22175,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,524;549;469;494;452;477;549;272;297,1,20.7482,20.7905,20.7217,19.259,22.9099,24.0892,24.2362,23.2418,3.22175,0.000504854,-3.2394,-6.56166,+
eps-8,-2.14317,1.55701,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;Q7YTG2;A0A061AJ42;A0A061AKT4,,755;780;700;725;683;708;503;528;17,1,20.492,19.8716,20.3491,18.6497,21.8965,20.3186,22.5549,23.1651,1.55701,0.0132361,-2.14317,-2.88893,+
eps-8,-0.774602,0.632583,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,537;562;482;507;465;490;562;285;310,0.999896,20.7914,18.9471,21.5243,21.0692,21.1765,21.0658,21.4885,21.6995,0.632583,0.127099,-0.774602,-1.32616,
eps-8,-1.76365,1.25191,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,583;608;528;553;511;536;608;331;356,1,20.4227,18.3571,19.618,21.6177,20.9889,21.6704,22.3464,22.0644,1.25191,0.0270867,-1.76365,-2.36387,+
,0.16323,0.112231,A0A061ACQ8,A0A061ACQ8;Q9BKW4,,315;64,1,25.1233,24.8938,25.9115,24.5449,23.9196,24.8655,24.899,26.1364,0.112231,0.66774,0.16323,0.302794,
,-1.46389,2.47087,A0A061ACQ8,A0A061ACQ8;Q9BKW4,,294;43,1,19.9121,20.2161,19.0178,19.4925,21.5992,20.809,20.9413,21.1447,2.47087,0.00181896,-1.46389,-4.68406,+
,-1.99659,2.68148,A0A061ACQ8,A0A061ACQ8,,133,0.5,25.1325,25.2518,24.1717,25.8192,27.2762,26.8353,26.7459,27.5041,2.68148,0.00115686,-1.99659,-5.16615,+
,-2.73812,2.47422,A0A061ACQ8,A0A061ACQ8,,135,0.5,25.1325,25.2518,24.1717,22.853,27.2762,26.8353,26.7459,27.5041,2.47422,0.00177778,-2.73812,-4.69149,+
T14G10.5,-0.710483,1.00724,A0A061ACR1,A0A061ACR1;Q2XN02;F5GUA3;Q22498,Coatomer subunit gamma;Probable coatomer subunit gamma,589;600;602;587,1,24.3332,24.2495,23.1299,24.264,24.8872,25.1844,24.1479,24.599,1.00724,0.0480696,-0.710483,-1.9552,+
pezo-1,0.115932,0.05842,A0A061AL01,A0A061AL01;O01260;B9WRT3;C6KRJ3;H9G2S2;A0A061AE33;A0A061AJB7;Q17897;H9G2S3;D0VWN8;A0A061ACU2;A0A067XG44,Piezo-type mechanosensitive ion channel component,989;1007;1033;1703;1705;1705;1707;1741;1743;1743;1745;341,1,20.5116,21.8091,20.3211,19.6159,21.2511,21.1867,18.9654,20.3907,0.05842,0.81298,0.115932,0.165298,
pezo-1,-1.37511,1.33361,A0A061AL01,A0A061AL01;O01260;B9WRT3;C6KRJ3;H9G2S2;A0A061AE33;A0A061AJB7;Q17897;H9G2S3;D0VWN8;A0A061ACU2,Piezo-type mechanosensitive ion channel component,593;611;611;1307;1309;1309;1311;1345;1347;1347;1349,0.998959,21.8251,21.7933,20.1921,20.2498,23.1739,22.0387,21.808,22.5403,1.33361,0.0224588,-1.37511,-2.50226,+
,-0.4544,0.273077,B3GWD8,B3GWD8;A0A061ACV1;O18057,,179;423;536,0.999973,21.2651,19.3165,19.4311,20.1715,21.5379,19.9172,21.2065,19.3403,0.273077,0.377701,-0.4544,-0.66086,
,-1.70731,1.80343,B3GWD8,B3GWD8;A0A061ACV1;O18057,,187;431;544,0.999982,19.4375,21.3968,19.2826,19.6967,21.8973,21.7259,21.2138,21.8058,1.80343,0.00801421,-1.70731,-3.33421,+
,-0.450367,0.360027,B3GWD8,B3GWD8;A0A061ACV1;O18057,,196;440;553,0.866485,21.2096,20.3949,19.5296,21.8822,21.6392,21.0082,21.3492,20.8212,0.360027,0.287067,-0.450367,-0.833482,
ard-1,-1.6867,4.38158,A0A061AD09;Q19102,A0A061AD09;Q19102,,37;211,0.58816,19.6149,20.0751,19.3603,19.5791,21.3986,21.2608,21.4654,21.2513,4.38158,0,-1.6867,-10.5988,+
lim-9,-1.39166,0.955304,Q3S1I9,Q3S1I9;O17833;G5EEA4;G5EDJ5;G5EF39;A0A0K3ATK8;A0A0K3AQM0;G5ECN3,,88;284;362;417;454;561;591;454,1,17.6619,21.1208,20.0137,19.8695,21.2028,21.0694,20.5769,21.3834,0.955304,0.0530972,-1.39166,-1.86895,
lim-9,-0.682891,0.932871,Q3S1I9,Q3S1I9;O17833;G5EEA4;G5EDJ5;G5EF39;A0A0K3ATK8;A0A0K3AQM0;A0A0K3AQP4,,240;436;514;569;606;713;743;124,1,21.5255,19.9551,20.3572,20.8448,21.6606,21.3918,20.915,21.4468,0.932871,0.0557712,-0.682891,-1.83168,
pgp-2,-3.12098,1.77368,G5EDF9,G5EDF9;A0A0K3AQN5,,7;7,0.998341,16.5769,19.2307,21.0463,19.3424,22.3729,22.3957,21.4728,22.4389,1.77368,0.00820862,-3.12098,-3.27922,+
