geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04, -Log.p.value,Student's T-test q-value daf2_d10_eat2_d10,log2FC,Student's T-test Test statistic daf2_d10_eat2_d10,Sign p-val: 0.05 
"CELE_Y62E10A,13",-2.34733,1.63274,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.3554,8.10436,9.38045,10.4464,11.8582,11.9786,11.6818,13.1573,1.63274,0.00741601,-2.34733,-3.0234,+
cars-1,-1.16436,2.50513,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.1075,16.3522,15.8168,16.1662,17.491,17.7836,16.9469,16.8786,2.50513,0.00137676,-1.16436,-4.76038,+
eps-8,1.69798,2.35778,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,15.6027,15.3869,14.0775,14.3634,13.3212,13.2322,12.972,13.1131,2.35778,0.00159673,1.69798,4.43752,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-1.20442,4.01953,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.5319,16.6517,16.4404,16.4774,17.9998,17.8431,17.431,17.6452,4.01953,8.81E-05,-1.20442,-9.15497,+
pezo-1,-0.43815,1.02323,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9727,15.208,15.1849,15.344,15.2204,15.3511,15.7552,16.1355,1.02323,0.0334889,-0.43815,-1.98176,+
twk-9,0.974285,2.04005,A0A061AD18,TWiK family of potassium channels,16.9242,17.1493,17.8353,17.5592,16.561,16.156,16.7497,16.1041,2.04005,0.00312335,0.974285,3.78571,+
epi-1,-0.575372,2.32749,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.1279,17.5438,17.0597,17.2595,18.0254,17.6787,17.736,17.8522,2.32749,0.00176502,-0.575372,-4.37285,+
kdin-1,-1.12031,3.78456,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.0056,13.2505,13.4264,13.3654,14.6547,14.2895,14.3799,14.205,3.78456,7.32E-05,-1.12031,-8.31403,+
tag-273,-0.46811,2.83742,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,16.5015,16.5437,16.458,16.5743,17.2222,16.9598,16.8673,16.9006,2.83742,0.000753521,-0.46811,-5.54409,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",-0.629145,2.75773,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.8776,12.8146,12.929,13.0728,13.4196,13.8567,13.4172,13.5172,2.75773,0.000833797,-0.629145,-5.3486,+
