geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04, -Log.p.value,Student's T-test q-value eat2_d15_eat2_d5,log2FC,Student's T-test Test statistic eat2_d15_eat2_d5,Sign p-val: 0.05 
"CELE_Y62E10A,13",1.21549,1.69015,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,14.6929,14.6219,15.0714,15.0036,13.6624,14.6705,13.0161,13.1788,1.69015,0.00286894,1.21549,3.12669,+
cars-1,1.0442,1.87644,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.3614,18.3607,17.4468,18.4773,16.9482,16.9907,16.7258,16.8047,1.87644,0.00173728,1.0442,3.47079,+
eps-8,1.35182,2.8949,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,14.2241,15.3397,14.695,14.718,13.2868,13.2943,13.4311,13.5574,2.8949,0.000140771,1.35182,5.68821,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.6276,2.90231,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.278,17.2816,17.5184,17.6879,16.7278,16.9222,16.7445,16.861,2.90231,0.000140982,0.6276,5.70699,+
pezo-1,2.01331,3.822,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,16.0356,16.4429,16.43,16.6367,14.9797,14.1831,14.1785,14.1505,3.822,2.21E-05,2.01331,8.44335,+
twk-9,-2.06767,3.4793,A0A061AD18,TWiK family of potassium channels,14.6643,14.6084,14.1804,15.4371,16.7245,16.8547,16.5382,17.0434,3.4793,4.31E-05,-2.06767,-7.32115,+
epi-1,2.4353,5.06326,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,19.3013,19.958,19.5637,20.0334,17.3778,17.2611,17.2211,17.2552,5.06326,0,2.4353,13.8978,+
kdin-1,0.755683,1.51981,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.9805,15.0657,14.7737,14.3285,14.5667,14.1245,13.5735,13.8609,1.51981,0.00443627,0.755683,2.82354,+
tag-273,1.19251,3.81066,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.8152,18.0893,17.9604,18.4654,16.9522,16.8906,16.8216,16.896,3.81066,2.20E-05,1.19251,8.404,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",2.02394,4.00714,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,14.5301,15.4822,14.9562,14.7982,13.204,12.8146,12.8455,12.807,4.00714,2.46E-05,2.02394,9.10885,+
pps-1,2.07618,4.09491,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,16.3486,16.9502,17.2291,16.4725,14.6654,14.5446,14.8951,14.5906,4.09491,2.57E-05,2.07618,9.44016,+
cka-1,1.87613,3.71929,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,17.0288,16.4714,17.191,17.2637,15.2113,15.2708,15.2935,14.6747,3.71929,2.08E-05,1.87613,8.09268,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",1.32548,3.28115,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.7691,14.5101,14.4768,15.3084,13.5273,13.4948,13.3414,13.3991,3.28115,5.55E-05,1.32548,6.73093,+
spp-18,-1.99372,4.3782,A0A061AKY5;Q19837,SaPosin-like Protein family,14.6074,14.9306,14.7396,14.9846,16.4987,16.7147,17.2833,16.7405,4.3782,0,-1.99372,-10.5844,+
lin-66,2.93275,2.99587,A0A061AL58;O62020,Uncharacterized protein,13.3425,15.221,14.9797,15.4351,11.9923,11.9933,11.806,11.4557,2.99587,8.82E-05,2.93275,5.94801,+
"CELE_F09E10,7",1.34813,2.74845,A0A078BPG0,Uncharacterized protein,14.9222,15.0741,14.3462,14.5228,13.584,13.4527,12.8148,13.6212,2.74845,0.000183892,1.34813,5.32617,+
"CELE_F10C1,9",1.51987,2.54297,A0A078BPH9;G4S1A4,Uncharacterized protein,14.4955,13.7579,14.6724,15.255,13.1674,12.9395,13.0649,12.9296,2.54297,0.000355766,1.51987,4.84562,+
itx-1,1.09092,5.64152,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,16.3116,16.5902,16.4232,16.4513,15.392,15.4007,15.3164,15.3035,5.64152,0,1.09092,17.435,+
"CELE_Y41E3,7",0.313885,0.574063,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,15.1169,15.2052,14.8207,15.8897,14.8861,15.2158,14.6431,15.0318,0.574063,0.0674421,0.313885,1.22452,
"CELE_Y105C5B,15",0.549366,1.75865,A0A078BQP7;Q9U309,Purple acid phosphatase,14.8389,15.4545,15.0084,15.3403,14.4415,14.4753,14.7231,14.8048,1.75865,0.00237104,0.549366,3.25156,+
lim-9,0.621144,0.820306,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.9571,15.1334,14.5622,14.6738,13.5294,15.0585,14.5216,13.7324,0.820306,0.0315605,0.621144,1.64415,+
"CELE_Y105E8A,25",0.874805,2.5642,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,14.9662,15.3609,14.9144,15.1615,13.9565,14.6444,14.1362,14.1668,2.5642,0.000319728,0.874805,4.89387,+
pgp-2,2.27947,1.76276,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,16.263,15.942,16.5103,18.9858,14.7406,14.5345,14.7663,14.542,1.76276,0.00236042,2.27947,3.25911,+
lpd-3,-4.06474,2.59971,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,14.7356,14.4461,14.7467,15.4556,19.8249,18.7062,20.3346,16.7774,2.59971,0.000270048,-4.06474,-4.97528,+
tln-1,0.0874188,0.091024,A0A0K3AQU9,TaLiN,14.9324,15.4181,14.2691,14.7208,15.2793,14.4381,15.0734,14.2001,0.091024,0.521107,0.0874188,0.250015,
max-2,0.373338,0.402814,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.9873,14.8484,14.0506,15.3082,15.0382,14.7899,13.6586,14.2145,0.402814,0.121663,0.373338,0.914875,
egl-27,0.266732,0.17401,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.4995,14.7387,12.7065,15.4268,14.4324,13.7939,13.9669,14.1113,0.17401,0.320233,0.266732,0.448009,
cdc-14,2.80814,3.69201,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,14.9576,15.4854,13.9322,14.2619,11.9383,11.9019,11.7932,11.7711,3.69201,2.06E-05,2.80814,8.00166,+
daf-16,0.211544,0.183998,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,13.9248,15.4823,13.9326,13.6722,14.4295,14.2156,13.8791,13.6415,0.183998,0.304257,0.211544,0.470464,
"CELE_T16H12,3;T16H12,3",-0.204401,0.302522,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",14.5306,14.5676,14.7485,15.431,15.5488,15.0549,14.68,14.8117,0.302522,0.178992,-0.204401,-0.72055,
lev-11,2.23823,4.87119,A0A0K3ARC0,Uncharacterized protein,17.5938,17.7435,17.6884,17.0757,15.4347,15.3798,15.0622,15.2719,4.87119,0,2.23823,12.8824,+
gld-2,0.765482,0.639851,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,14.9741,15.5163,13.4171,15.0916,13.6346,14.8193,13.2643,14.2192,0.639851,0.0553057,0.765482,1.33868,
ncl-1,1.76624,4.02315,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,15.0217,15.2217,14.819,15.1931,13.1435,13.1674,13.0787,13.801,4.02315,2.48E-05,1.76624,9.16849,+
"CELE_D1069,3",2.15484,3.88215,A0A0K3ARJ1;Q6A586,Uncharacterized protein,14.5316,15.1375,15.0211,15.0412,12.2505,12.6677,13.2142,12.9798,3.88215,2.29E-05,2.15484,8.65475,+
