geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04, -Log.p.value,Student's T-test q-value eat2_d10_eat2_d5,log2FC,Student's T-test Test statistic eat2_d10_eat2_d5,Sign p-val: 0.05 
"CELE_Y62E10A,13",-1.46298,1.57493,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.8582,11.9786,11.6818,13.1573,13.6624,14.6705,13.0161,13.1788,1.57493,0.00698883,-1.46298,-2.92057,+
cars-1,0.407672,0.913567,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.491,17.7836,16.9469,16.8786,16.9482,16.9907,16.7258,16.8047,0.913567,0.0516393,0.407672,1.7996,
eps-8,-0.232747,1.24067,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,13.3212,13.2322,12.972,13.1131,13.2868,13.2943,13.4311,13.5574,1.24067,0.0193325,-0.232747,-2.34494,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.915908,3.35669,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.9998,17.8431,17.431,17.6452,16.7278,16.9222,16.7445,16.861,3.35669,0.000417564,0.915908,6.9512,+
pezo-1,1.24256,2.28759,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,15.2204,15.3511,15.7552,16.1355,14.9797,14.1831,14.1785,14.1505,2.28759,0.00116728,1.24256,4.28852,+
twk-9,-0.397496,1.09243,A0A061AD18,TWiK family of potassium channels,16.561,16.156,16.7497,16.1041,16.7245,16.8547,16.5382,17.0434,1.09243,0.0307727,-0.397496,-2.09685,+
epi-1,0.544305,3.1993,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,18.0254,17.6787,17.736,17.8522,17.3778,17.2611,17.2211,17.2552,3.1993,0.000377811,0.544305,6.49856,+
kdin-1,0.350873,0.740213,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.6547,14.2895,14.3799,14.205,14.5667,14.1245,13.5735,13.8609,0.740213,0.0818179,0.350873,1.50962,
tag-273,0.0974073,0.530482,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.2222,16.9598,16.8673,16.9006,16.9522,16.8906,16.8216,16.896,0.530482,0.146689,0.0974073,1.14768,
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.634895,2.38272,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,13.4196,13.8567,13.4172,13.5172,13.204,12.8146,12.8455,12.807,2.38272,0.00114834,0.634895,4.49119,+
